protein_id,genes,time,fraction,intensity
Q3URD3,Slmap,30min,1,1916600.000000001
Q3UUQ7,Pgap1,30min,1,7886901.999999996
Q3UVK0,Ermp1,30min,1,3452600.0
Q3UZ39,Lrrfip1,30min,1,1395790.0
Q3V009,Tmed1,30min,1,295119.0
Q3V3R4,Itga1,30min,1,1536289.9999999995
Q4PJX1,Odr4,30min,1,2462885.999999998
Q5I012,Slc38a10,30min,1,338686.9999999999
Q5MJS3,Fam20c,30min,1,3361329.999999998
Q5SUA5,Myo1g,30min,1,7465000.000000004
Q5SUC9,Sco1,30min,1,3881629.999999999
Q5SW19,Cluh,30min,1,167763.99999999997
Q5Y5T1,Zdhhc20,30min,1,1456140.0
Q60597,Ogdh,30min,1,607501.9999999981
Q60604,Scin,30min,1,319950.99999999907
Q60605,Myl6,30min,1,137140839.99999994
Q60631,Grb2,30min,1,1311549.999999999
Q60648,Gm2a,30min,1,2034182.9999999998
Q60677,Itgae,30min,1,289728.0
Q60710,Samhd1,30min,1,970558.9999999998
Q60738,Slc30a1,30min,1,2255377.999999999
Q60766,Irgm1,30min,1,165551.0
Q60770,Stxbp3,30min,1,2211918.0
Q60930,Vdac2,30min,1,8393029.999999998
Q60963,Pla2g7,30min,1,201831.0
Q61017,Gngt2,30min,1,104703.0
Q61070,Ei24,30min,1,363976.99999999994
Q61072,Adam9,30min,1,130089.0
Q61093,Cybb,30min,1,21515548.999999993
Q61207,Psap,30min,1,24501743.999999993
Q61263,Soat1,30min,1,30707489.5
Q61334,Bcap29,30min,1,13736330.0
Q61335,Bcap31,30min,1,50762454.5
Q61462,Cyba,30min,1,22852990.0
Q61543,Glg1,30min,1,4239520.0
Q61549,Adgre1,30min,1,391400.00000000186
Q61735,Cd47,30min,1,4380099.999999999
Q61739,Itga6,30min,1,1427758.0
Q61830,Mrc1,30min,1,21007880.0
Q62186,Ssr4,30min,1,17900219.999999996
Q62192,Cd180,30min,1,6446659.999999999
Q62351,Tfrc,30min,1,2286889.999999999
Q62465,Vat1,30min,1,4047875.0
Q640N3,Arhgap30,30min,1,469405.00000000023
Q64133,Maoa,30min,1,4041159.999999999
Q64310,Surf4,30min,1,3502083.9999999925
Q64324,Stxbp2,30min,1,1436099.000000001
Q64337,Sqstm1,30min,1,721561.5
Q64373,Bcl2l1,30min,1,825282.9999999991
Q64433,Hspe1,30min,1,292503.99999999994
Q64455,Ptprj,30min,1,931894.0000000009
Q64518,Atp2a3,30min,1,5765919.999999998
Q64523,H2ac20,30min,1,1504660.0
Q64704,Stx3,30min,1,4964999.999999999
Q68FD5,Cltc,30min,1,7308040.00000003
Q68FE2,Atg9a,30min,1,682083.9999999998
Q69ZN7,Myof,30min,1,57947699.99999997
Q69ZZ6,Tmcc1,30min,1,792385.9999999995
Q6DFW5,Atp11b,30min,1,550317.0
Q6GQT9,Nomo1,30min,1,5281770.0
Q6IRU5,Cltb,30min,1,2145643.9999999963
Q6NXK9,Man1c1,30min,1,828684.9999999998
Q6P1F6,Ppp2r2a,30min,1,59839.59999999963
Q6P9J9,Ano6,30min,1,2665520.0
Q6P9Q6,Fkbp15,30min,1,251585.0
Q6PB93,Galnt2,30min,1,8601679.999999996
Q6PD26,Pigs,30min,1,1083060.0
Q6PEB6,Mob4,30min,1,911845.0
Q6PHN9,Rab35,30min,1,7821950.0
Q6PHU5,Sort1,30min,1,215269.30000000075
Q6PHZ2,Camk2d,30min,1,209965.00000000093
Q6PIC6,Atp1a3,30min,1,8409240.0
Q6QD59,Bnip1,30min,1,732002.0
Q6QLQ4,Clec7a,30min,1,2261369.500000002
Q6R5N8,Tlr13,30min,1,1142209.999999999
Q6ZQI3,Mlec,30min,1,5412869.999999999
Q6ZQM8,Ugt1a7,30min,1,10624210.000000007
Q6ZWN5,Rps9,30min,1,4642550.0
Q6ZWQ7,Spcs3,30min,1,660385.9999999993
