,protein_id,CCprofiler_count,SPADE_count
3193,Q8K3G9,2.6666666666666665,2.6666666666666665
3204,Q8K4B0,1.0,1.0
3206,Q8K4F5,1.0,1.0
3214,Q8K4Q8,1.0,1.0
3216,Q8K4X7,1.0,1.0
3217,Q8K4Z3,1.0,1.0
3220,Q8QZS1,1.0,1.0
3224,Q8QZX2,1.0,1.0
3227,Q8QZY9,2.0,2.0
3230,Q8R010,1.0,1.0
3233,Q8R033,1.0,1.0
3234,Q8R035,1.0,1.0
3236,Q8R059,1.0,1.0
3238,Q8R086,1.0,1.0
3241,Q8R0A0,1.5,1.5
3243,Q8R0F3,1.0,1.0
3244,Q8R0F6,1.0,1.0
3245,Q8R0F8,1.0,1.0
3248,Q8R0H9,1.0,1.0
3250,Q8R0J8,1.0,1.0
3258,Q8R149,1.0,1.0
3261,Q8R180,1.0,1.0
3262,Q8R1A4,1.1666666666666667,1.1666666666666667
3267,Q8R1K4,1.0,1.0
3270,Q8R1Q8,1.0,1.0
3273,Q8R1T1,1.0,1.0
3277,Q8R242,1.0,1.0
3278,Q8R2E9,1.0,1.0
3279,Q8R2H9,1.0,1.0
3282,Q8R2Q4,1.0,1.0
3283,Q8R2R9,1.0,1.0
3287,Q8R2U4,1.0,1.0
3288,Q8R2U6,1.0,1.0
3292,Q8R310,1.0,1.0
3297,Q8R326,1.0,1.0
3299,Q8R349,1.0,1.0
3300,Q8R366,1.0,1.0
3302,Q8R3B1,1.0,1.0
3306,Q8R3G1,1.0,1.0
3319,Q8R420,1.0,1.0
3320,Q8R480,1.0,1.0
3322,Q8R4C2,1.0,1.0
3324,Q8R4N0,1.0,1.0
3330,Q8R574,1.0,1.0
3336,Q8R5I6,1.0,1.0
3347,Q8VBZ3,1.0,1.0
3349,Q8VC04,1.0,1.0
3351,Q8VC28,1.0,1.0
3354,Q8VC85,1.0,1.0
3355,Q8VC88,1.0,1.0
3356,Q8VCA8,1.0,1.0
3357,Q8VCB1,1.0,1.0
3358,Q8VCD5,1.0,1.0
3361,Q8VCH5,1.0,1.0
3362,Q8VCH6,1.0,1.0
3366,Q8VCM8,1.0,1.0
3369,Q8VCR7,1.0,1.0
3376,Q8VD31,1.0,1.0
3378,Q8VD62,1.0,1.0
3382,Q8VDC1,1.0,1.0
3385,Q8VDD9,1.0,1.0
3387,Q8VDG5,1.0,1.0
3390,Q8VDI9,1.0,1.0
3392,Q8VDK1,1.0,1.0
3393,Q8VDL4,1.0,1.0
3398,Q8VDP2,1.0,1.0
3402,Q8VDQ1,1.0,1.0
3405,Q8VDS4,1.0,1.0
3407,Q8VDT9,1.0,1.0
3408,Q8VDV3,2.0,2.0
3414,Q8VE22,1.3333333333333333,1.3333333333333333
3428,Q8VEB4,1.0,1.0
3429,Q8VEB6,1.0,1.0
3436,Q8VEH5,1.0,1.0
3439,Q8VEJ4,1.0,1.0
3441,Q8VEK0,1.0,1.0
3448,Q8VHC3,1.0,1.0
3453,Q8VHL1,1.0,1.0
3460,Q8VI38,1.0,1.0
3461,Q8VI63,1.0,1.0
3466,Q8WTY4,1.0,1.0
3467,Q91UZ5,1.0,1.0
3469,Q91V04,1.0,1.0
3470,Q91V09,1.0,1.0
3473,Q91V24,1.0,1.0
3478,Q91VA6,1.0,1.0
3484,Q91VF2,1.0,1.0
3488,Q91VJ1,1.0,1.0
3507,Q91VX9,1.0,1.0
3518,Q91W89,1.3333333333333333,1.3333333333333333
3520,Q91W96,1.0,1.0
3521,Q91W98,1.0,1.0
3524,Q91WC0,1.0,1.0
3528,Q91WE1,1.0,1.0
3531,Q91WF7,1.0,1.0
3535,Q91WJ8,1.0,1.0
3538,Q91WK5,1.0,1.0
3540,Q91WM2,1.0,1.0
3542,Q91WN1,1.0,1.0
3550,Q91WU5,1.0,1.0
3551,Q91WV0,1.0,1.0
3556,Q91X58,1.0,1.0
3558,Q91XA2,1.0,1.0
3560,Q91XC9,1.0,1.0
3561,Q91XD6,1.0,1.0
3563,Q91XE4,1.0,1.0
3564,Q91XF0,1.0,1.0
3566,Q91XL1,1.0,1.0
3567,Q91XL3,1.0,1.0
3569,Q91XS1,1.0,1.0
3573,Q91Y74,1.0,1.0
3580,Q91YI0,1.0,1.0
