,protein_id,CCprofiler_count,SPADE_count,highest_count_group
414,O88271,0.0,1.0,SPADE
415,O88291,0.0,1.75,SPADE
416,O88307,1.8333333333333333,1.1666666666666667,CCprofiler
417,O88325,2.0,3.1666666666666665,SPADE
418,O88342,2.6666666666666665,1.0,CCprofiler
422,O88428,2.0,1.1666666666666667,CCprofiler
423,O88447,1.0,1.1666666666666667,SPADE
424,O88448,0.0,1.1666666666666667,SPADE
426,O88456,2.0,1.8333333333333333,CCprofiler
427,O88487,2.5,1.1666666666666667,CCprofiler
428,O88512,1.8,1.1666666666666667,CCprofiler
430,O88522,1.5,1.1666666666666667,CCprofiler
431,O88531,1.0,3.0,SPADE
432,O88532,1.0,1.3333333333333333,SPADE
433,O88543,1.4,1.0,CCprofiler
435,O88545,1.6666666666666667,1.1666666666666667,CCprofiler
436,O88554,0.0,1.6666666666666667,SPADE
437,O88561,0.0,1.25,SPADE
438,O88569,1.5,1.0,CCprofiler
439,O88574,1.0,1.3333333333333333,SPADE
440,O88587,1.6,2.0,SPADE
441,O88597,1.0,2.0,SPADE
443,O88630,1.0,1.8,SPADE
445,O88665,0.0,1.0,SPADE
447,O88685,1.6,1.5,CCprofiler
448,O88696,1.8333333333333333,1.5,CCprofiler
449,O88712,1.0,2.1666666666666665,SPADE
450,O88736,0.0,1.3333333333333333,SPADE
451,O88738,1.6666666666666667,1.0,CCprofiler
453,O88783,0.0,1.0,SPADE
454,O88796,0.0,1.3333333333333333,SPADE
455,O88811,1.25,2.5,SPADE
456,O88839,0.0,1.0,SPADE
457,O88842,1.0,1.1666666666666667,SPADE
459,O88844,2.0,1.5,CCprofiler
460,O88845,2.0,2.5,SPADE
463,O88856,1.0,0.0,CCprofiler
465,O88879,1.3333333333333333,2.1666666666666665,SPADE
466,O88895,1.5,1.1666666666666667,CCprofiler
467,O88935,0.0,1.3333333333333333,SPADE
468,O88939,0.0,2.0,SPADE
469,O88947,2.0,3.3333333333333335,SPADE
470,O88952,0.0,3.2,SPADE
471,O88958,1.0,1.5,SPADE
472,O88967,0.0,1.3333333333333333,SPADE
474,O88974,1.0,1.3333333333333333,SPADE
476,O88986,1.1666666666666667,1.0,CCprofiler
477,O89001,2.0,1.1666666666666667,CCprofiler
478,O89016,0.0,1.0,SPADE
480,O89023,0.0,3.0,SPADE
482,O89051,1.0,1.1666666666666667,SPADE
483,O89053,0.0,1.4,SPADE
484,O89079,1.3333333333333333,2.1666666666666665,SPADE
485,O89086,1.0,0.0,CCprofiler
487,O89103,1.3333333333333333,2.0,SPADE
488,O89110,2.0,1.0,CCprofiler
