peak_id,protein_id,genes,time,peak_apex,peak_height,peak_width,peak_area,peak_left,peak_right,snr,asymmetry,sharpness,peak_background_intensity
5769,Q9JLI8,Sart3,10min,33,5139971.111111111,8,17579170.0,29.0,36.0,103.4062760112822,-0.125,642496.3888888889,499344316.111111
5770,Q9JLJ5,Elovl1,10min,4,25504151.11111111,13,175702130.33333334,1.0,13.0,513.0941852042628,0.46153846153846156,1961857.7777777775,180270921.1111111
5771,Q9JLN9,Mtor,10min,5,38714108.88888888,13,240687377.77777773,1.0,13.0,778.852982391546,0.3076923076923077,2978008.3760683755,240687377.77777773
5772,Q9JLQ0,Cd2ap,10min,24,23601040.0,9,168483341.1111111,21.0,29.0,474.80727102097427,0.2222222222222222,2622337.777777778,635442315.5555555
5773,Q9JLQ0,Cd2ap,10min,35,52688106.66666666,12,315460581.11111104,29.0,40.0,1059.9827864222084,-0.08333333333333333,4390675.555555555,635442315.5555555
5774,Q9JLQ2,Git2,10min,9,3839723.333333333,13,26245623.333333332,2.0,14.0,77.24780591768662,-0.15384615384615385,295363.3333333333,72726968.05555555
5775,Q9JLQ2,Git2,10min,15,1778384.6666666665,5,7916466.555555555,14.0,18.0,35.777659391516,0.4,355676.9333333333,72726968.05555555
5776,Q9JLQ2,Git2,10min,24,2313469.555555555,11,12399468.777777776,22.0,32.0,46.542532289400775,0.5454545454545454,210315.4141414141,72726968.05555555
5777,Q9JLQ2,Git2,10min,38,5646256.722222222,8,22220247.055555552,33.0,40.0,113.59176314951225,-0.375,705782.0902777778,72726968.05555555
5778,Q9JLV1,Bag3,10min,20,33681859.99999999,12,217291546.66666663,10.0,21.0,677.6138691138403,-0.75,2806821.666666666,357031839.9999998
5779,Q9JLV5,Cul3,10min,8,33755199.99999999,17,271893667.77777773,1.0,17.0,679.0893280451704,0.11764705882352941,1985599.9999999995,365733009.9999999
5780,Q9JLV5,Cul3,10min,25,13524914.444444442,12,75014573.33333333,21.0,32.0,272.09511606941146,0.25,1127076.2037037036,365733009.9999999
5781,Q9JLV6,Pnkp,10min,38,79825350.0,11,384900562.2222222,30.0,40.0,1605.9316280890218,-0.5454545454545454,7256850.0,402180538.88888884
5782,Q9JLZ3,Auh,10min,30,18133767.777777776,9,75120691.1111111,25.0,33.0,364.81632978439694,-0.2222222222222222,2014863.0864197528,311366786.6666666
5783,Q9JLZ3,Auh,10min,36,62828406.66666666,8,243173393.3333333,33.0,40.0,1263.9860070571458,0.125,7853550.833333332,311366786.6666666
5784,Q9JM13,Rabgef1,10min,8,34959240.0,17,258877659.99999994,1.0,17.0,703.312283753906,0.11764705882352941,2056425.8823529412,263049047.7777777
5785,Q9JM14,Nt5c,10min,36,658371223.3333333,12,2510971309.444444,29.0,40.0,13245.155462201681,-0.25,54864268.611111104,2510971309.444444
5786,Q9JM76,Arpc3,10min,27,615075400.0,20,3130426137.222222,17.0,36.0,12374.127248042212,-0.05,30753770.0,3194526605.5555553
5787,Q9JMA1,Usp14,10min,33,65258341.66666666,14,289275774.99999994,27.0,40.0,1312.8715987983721,0.07142857142857142,4661310.1190476185,294395724.11111104
5788,Q9JMA2,Qtrt1,10min,29,19209736.666666664,13,99018683.55555555,22.0,34.0,386.46274247793934,-0.15384615384615385,1477672.051282051,142588067.66666663
