peak_id,protein_id,genes,time,peak_apex,peak_height,peak_width,peak_area,peak_left,peak_right,snr,asymmetry,sharpness,peak_background_intensity
4667,Q9CPT3,Nanp,30min,38,29274502.222222216,7,93204566.66666666,34.0,40.0,726.4973231286912,-0.2857142857142857,4182071.7460317453,93204566.66666666
4668,Q9CPU0,Glo1,30min,37,162488536.66666666,14,618496084.4444444,27.0,40.0,4032.433618557719,-0.5,11606324.047619047,618496084.4444444
4669,Q9CPV4,Glod4,30min,37,288130696.6666666,10,1000490791.9999998,31.0,40.0,7150.4607747228965,-0.3,28813069.666666664,1000490791.9999998
4670,Q9CPV5,Pmf1,30min,21,1805545.333333333,10,7814895.999999999,17.0,26.0,44.807725217559465,0.1,180554.5333333333,7814895.999999999
4671,Q9CPW2,Fdx2,30min,38,24944104.44444444,7,84032922.22222221,34.0,40.0,619.0310246496739,-0.2857142857142857,3563443.4920634916,84032922.22222221
4672,Q9CPW4,Arpc5,30min,27,1248627022.222222,20,8244051323.333333,17.0,36.0,30986.83565461267,-0.05,62431351.111111104,8834045600.000002
4673,Q9CPX6,Atg3,30min,20,78848188.88888888,18,622633858.8888888,10.0,27.0,1956.7539603744235,-0.16666666666666666,4380454.9382716045,895058249.9999998
4674,Q9CPX6,Atg3,30min,32,44400387.77777777,14,279971684.4444444,27.0,40.0,1101.872292193763,0.21428571428571427,3171456.269841269,895058249.9999998
4675,Q9CPY1,Mrpl51,30min,7,22613231.11111111,14,125403945.55555555,1.0,14.0,561.1863779887555,0.07142857142857142,1615230.7936507934,125403945.55555555
4676,Q9CPY7,Lap3,30min,27,381299300.0,12,1900955294.4444444,19.0,30.0,9462.600547672637,-0.4166666666666667,31774941.666666668,3043293270.0000005
4677,Q9CPY7,Lap3,30min,33,271290116.6666666,11,1308714931.1111112,30.0,40.0,6732.532702127104,0.36363636363636365,24662737.878787875,3043293270.0000005
4678,Q9CQ02,Commd4,30min,6,3734447.777777777,10,22391138.888888888,1.0,10.0,92.67677015734058,-0.1,373444.7777777777,60847149.99999999
4679,Q9CQ02,Commd4,30min,15,7498037.777777776,13,39921133.333333336,10.0,22.0,186.07675488119204,0.15384615384615385,576772.1367521366,60847149.99999999
4680,Q9CQ06,Mrpl24,30min,8,14710126.666666664,13,76848847.77777776,1.0,13.0,365.0571943151583,-0.15384615384615385,1131548.205128205,76848847.77777776
4681,Q9CQ10,Chmp3,30min,38,136776200.0,8,506459833.33333325,33.0,40.0,3394.337584749256,-0.375,17097025.0,506459833.33333325
4682,Q9CQ18,Rnaseh2c,30min,31,54488577.77777777,18,306308007.1111111,21.0,38.0,1352.228147080005,-0.16666666666666666,3027143.209876543,307210334.0
